"x","y","B2","B3","B4","B5","B6","B7","B8","B8A","B11","B12","Class","Landuse","Class_ID"
679767.499966055,4764054.15475778,679,984,1341,1397,2824,2824,3608,3904,2905,2123,"Class_1","Parking/road/pavement",1
679770.017611918,4764054.15475778,695,1025,1690,1397,2824,2824,3254,3904,2905,2123,"Class_1","Parking/road/pavement",1
678146.136029772,4764051.66348897,980,1101,1011,1061,1498,1498,1593,2037,1552,1212,"Class_2","Building",2
678148.653675636,4764051.66348897,980,1101,1011,1061,1498,1498,1593,2037,1552,1212,"Class_2","Building",2
678151.1713215,4764051.66348897,806,873,842,1061,1498,1498,1670,2037,1552,1212,"Class_2","Building",2
679231.241397067,4764051.66348897,245,566,459,874,2215,2215,3011,3023,1822,962,"Class_4","Grass",4
679233.759042931,4764051.66348897,245,566,459,874,2215,2215,3011,3023,1822,962,"Class_4","Grass",4
679236.276688794,4764051.66348897,245,566,459,874,2215,2215,3011,3023,1822,962,"Class_4","Grass",4
679238.794334658,4764051.66348897,245,566,459,874,2215,2215,3011,3023,1822,962,"Class_4","Grass",4
679241.311980522,4764051.66348897,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679243.829626386,4764051.66348897,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679246.34727225,4764051.66348897,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679248.864918113,4764051.66348897,295,587,513,946,2021,2021,2814,2953,1957,1052,"Class_4","Grass",4
679251.382563977,4764051.66348897,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679253.900209841,4764051.66348897,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679256.417855705,4764051.66348897,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679258.935501568,4764051.66348897,282,599,515,946,2021,2021,2508,2953,1957,1052,"Class_4","Grass",4
679261.453147432,4764051.66348897,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679263.970793296,4764051.66348897,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679266.48843916,4764051.66348897,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679269.006085024,4764051.66348897,332,556,522,958,1873,1873,2534,2773,2017,1126,"Class_4","Grass",4
679626.511797682,4764051.66348897,190,505,264,875,3029,3029,4242,4580,2336,1092,"Class_4","Grass",4
679629.029443546,4764051.66348897,190,505,264,875,3029,3029,4242,4580,2336,1092,"Class_4","Grass",4
