FIPS,x,y,Cancer,Poverty,Smoking,PM25,NO2,SO2
13121,1057680.928,1255772.741,58,16.11333333,18.88666667,13.46466667,3.747733333,0.166282138
54001,1363554.584,1904822.789,72,20.64,29.07333333,10.59466667,2.035666667,0.16523128
51111,1557688.929,1690682.635,68,19.68666667,29.47333333,11.22666667,1.625133333,0.057253665
51169,1181659.323,1602179.406,84,16.82,29.69333333,10.52666667,2.512133333,0.059581884
24037,1668389.554,1867466.358,70,7.686666667,22.06666667,12.39,2.421866667,0.101043297
45077,1199434.591,1398170.842,64,14.14,24.58666667,11.932,1.527933333,0.027727574
45087,1301978.779,1390787.374,79,16.78,30.08666667,12.28133333,1.3432,0.041707734
45083,1264596.645,1412493.179,73,14.05333333,26.68666667,12.328,1.836066667,0.051226487
45013,1422969.875,1149284.841,50,11.61333333,21.56666667,10.86,0.9116,0.015457588
45053,1394211.904,1150416.926,60,23.18666667,27.96,10.896,0.962333333,0.016498578
37051,1545014.124,1472239.09,76,16.4,25.54,13.02733333,1.6628,0.016146991
10003,1719077.989,2024828.341,66,9.393333333,23.24,14.13333333,4.9514,0.068458668
13077,1036448.997,1204099.492,66,9.92,23.62666667,12.62466667,1.9452,0.160924834
13233,989224.3021,1271527.442,100,17.14666667,29.36,12.866,1.945133333,0.211033087
24003,1652614.186,1944776.741,68,5.713333333,21.74,13.526,4.5748,0.141986298
37087,1166148.013,1468980.246,61,14.2,28.46666667,9.826666667,1.024666667,0.036620953
54087,1257108.312,1839934.89,82,21.40666667,33.21333333,11.66733333,2.575266667,0.21716079
37197,1361162.478,1566766.534,69,12.86666667,29.06,11.572,2.0944,0.083312892
10005,1762733.34,1928788.66,69,11.62666667,27.42,12.29266667,3.601333333,0.057635935
37089,1214308.512,1450981.49,56,12.14666667,24.26666667,10.62333333,1.5424,0.045088568
13157,1134916.515,1304291.6,83,13.32,26.22,13.05333333,1.7394,0.057007757
37161,1263152.818,1465512.044,69,16.99333333,28.60666667,11.21066667,1.900533333,0.075897961
51141,1385083.588,1629473.103,65,15.12666667,29.87333333,10.398,1.783533333,0.070270986
42067,1552118.755,2098795.276,51,9.493333333,26.25333333,11.24066667,3.056866667,0.106863053
42071,1658497.002,2064716.084,52,8.76,23.22666667,12.81133333,4.389,0.108056667
45019,1486274.334,1210584.557,62,15.84666667,23.36666667,9.590666667,1.022133333,0.027919816
37193,1316547.473,1564807.212,68,16.15333333,28.67333333,10.69733333,1.5656,0.06409672
13141,1199327.046,1215604.883,72,28.94,27.47333333,12.25066667,1.3462,0.101570204
13011,1137907.672,1329501.639,60,14.30666667,27.9,12.83866667,1.4372,0.037617526
37177,1759744.963,1602276.313,70,26.16,29.27333333,8.868,1.401666667,0.011368369
42085,1302019.114,2140915.863,62,13,27.64,12.19066667,3.375133333,0.148678507
42087,1532755.461,2104065.458,63,13.76,28.11333333,11.04066667,2.893466667,0.10175133
42027,1509494.377,2134790.064,49,14.48666667,18.35333333,10.54133333,2.778333333,0.115801529
42029,1701412.133,2065940.824,54,5.72,18.22666667,13.038,5.0668,0.075305733
45033,1508707.785,1391005.584,94,25.06666667,30.48,12.386,1.3276,0.019207342
42031,1372665.672,2140579.475,58,14.4,25.1,11.74466667,3.210266667,0.211933187
45039,1351833.839,1365215.886,76,19.30666667,27.66,12.394,1.2808,0.03338413
13013,1123623.574,1286900.033,82,11.34,27.31333333,13.074,2.222866667,0.079718502
51147,1534615.893,1718046.143,70,20.8,25.88,11.206,1.9544,0.047593932
42093,1602149.321,2165666.682,54,9.88,27.02666667,10.764,3.075933333,0.140087713
42095,1718996.522,2159377.207,58,8.12,24.1,11.07466667,4.218066667,0.066797708
37175,1187967.651,1432054.99,50,13.48,24.61333333,10.37066667,1.1282,0.031857878
