"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
37057,4.623,3.97,4.388,3.828,3.818,2.973,3.586,2.034,2.233,1.93,1.092,1.504,1.633,1.133,1.594
37155,2.129,2.071,2.304,1.616,2.207,1.529,1.752,1.596,1.374,1.291,1.018,0.969,0.838,0.764,0.964
42097,4.089,4.748,4.119,4.283,3.889,4.025,2.007,2.251,2.381,1.857,1.851,1.121,1.15,1.792,1.292
42121,5.968,5.722,5.408,4.531,5.498,3.711,3.525,1.805,2.14,2.22,1.793,1.525,1.866,1.64,1.598
51197,1.594,1.886,1.696,1.432,1.404,2.116,1.441,1.153,0.684,0.809,0.813,0.851,0.657,0.75,0.544
54045,2.815,2.716,2.321,2.385,2.703,2.625,2.065,2.149,2.179,1.831,1.385,1.225,1.271,1.584,0.875
13213,2.988,2.142,2.564,2.29,2.597,1.995,2.555,1.998,1.396,1.251,1.056,1.098,1.11,1.235,1.147
37013,1.951,1.886,1.967,1.711,2.01,1.897,1.054,1.158,0.829,0.918,0.878,0.594,0.691,0.772,0.751
37113,0.792,0.803,0.765,0.902,0.627,0.938,0.905,0.837,0.427,0.779,0.65,1.097,0.44,0.594,0.597
36009,2.897,2.957,2.596,2.777,2.555,2.058,1.565,1.7,1.192,1.531,1.422,1.006,0.745,1.185,1.225
36055,5.031,4.22,4.747,4.713,3.81,2.922,2.601,2.999,1.894,2.304,2.992,1.581,1.346,1.837,2.312
34015,7.228,7.716,7.208,5.797,6.746,5.696,6.25,6.164,5.284,4.327,5.611,4.306,3.026,3.243,3.246
13037,0.807,0.782,0.824,1.102,0.957,1.078,0.736,0.971,0.847,0.687,0.662,0.486,0.472,0.478,0.377
54039,5.583,5.655,4.044,3.573,3.597,3.326,2.67,3.04,2.023,2.373,1.631,1.262,1.36,1.404,1.037
11001,6.34,7.452,6.658,6.701,5.124,7.06,7.302,6.903,7.063,4.491,4.01,2.779,3.15,3.29,3.354
45085,1.489,1.84,2.087,1.508,1.775,1.77,1.918,1.773,1.086,1.316,0.885,0.917,0.864,0.518,0.768
51043,5.128,4.736,4.907,3.584,4.019,2.095,3.389,3.474,2.943,2.534,2.4,1.196,1.816,2.178,1.383
54021,3.418,3.604,2.716,2.548,2.879,2.529,1.861,2.32,2.292,1.949,0.926,0.828,0.904,1.031,1.086
34033,5.763,6.146,5.678,4.54,5.135,5.22,5.25,5.575,4.494,4.054,4.597,3.493,2.943,2.776,2.953
13193,1.199,1.122,1.418,1.277,1.56,1.183,1.046,1.116,0.864,0.974,0.812,0.775,0.702,0.597,0.514
13263,1.05,0.997,1.277,1.185,1.133,0.88,1.032,1.253,0.845,0.987,0.843,0.903,0.508,0.45,0.514
13093,1.045,0.964,1.193,1.103,1.342,1.182,0.96,0.872,0.719,0.735,0.617,0.666,0.55,0.53,0.425
51133,2.379,2.536,2.526,1.979,2.523,2.571,2.456,2.303,2.075,1.774,1.322,1.259,0.91,1.083,1.119
37105,2.321,1.989,2.574,1.972,2.384,1.402,2.613,1.908,1.955,1.288,1.112,1.09,1.131,0.851,0.985
45027,1.383,1.629,1.934,1.413,1.556,1.945,1.672,1.443,1.075,1.321,0.775,0.844,0.875,0.471,0.778
37127,2.55,2.133,2.294,1.997,1.743,2.237,1.577,1.978,1.521,1.076,1.18,1.036,1.033,1.038,1.142
51620,2.988,2.643,2.639,2.036,2.78,1.543,2.236,1.944,1.946,1.427,1.077,0.719,1.054,0.9,0.977
51049,2.063,2.216,2.228,1.687,1.765,2.674,1.828,2.01,2.322,1.401,1.365,0.911,1.694,1.213,1.221
51037,2.579,2.182,2.637,1.902,2.29,2.228,1.92,2.162,1.882,1.254,1.106,0.885,1.279,0.938,0.844
51115,2.292,2.336,2.074,1.8,1.995,2.691,2.423,2.41,2.156,1.553,1.507,1.203,1.231,1.263,1.265
51119,2.424,2.517,2.326,2.093,2.133,2.849,2.389,2.559,2.275,1.728,1.549,1.26,1.334,1.369,1.529
51015,2.317,2.542,2.489,1.757,2.053,1.402,1.434,1.757,1.433,1.176,0.944,0.637,0.784,0.884,0.697
54003,5.427,5.039,5.378,4.138,4.547,2.987,2.977,3.72,3.277,3.145,2.872,1.63,1.817,2.421,1.778
37163,2.255,1.964,1.933,1.463,1.55,1.409,1.596,1.483,1.334,1.095,0.978,0.894,0.843,0.746,0.784
51117,2.927,2.07,2.63,1.89,2.372,1.757,1.994,1.958,1.496,1.296,0.887,0.689,1.093,1.053,1.051
37035,3.325,2.332,3.029,2.909,3.118,3.053,2.545,2.142,2.196,1.715,1.67,1.768,1.348,1.213,1.347
13049,1.029,0.956,1.109,1.054,1.28,0.923,0.571,0.907,0.64,0.583,0.554,0.445,0.411,0.412,0.421
37191,2.528,2.378,2.337,2.165,1.95,2.352,2.037,1.821,1.592,1.531,1.04,1.085,1.145,1.011,1.082
36023,2.889,2.69,2.563,1.905,1.881,1.118,2.224,1.684,0.853,1.329,1.493,1.178,1.203,1.255,1.035
37059,3.807,3.556,3.517,3.267,2.75,3.117,2.545,1.733,2.112,1.95,1.439,1.156,1.189,1.22,1.54
