"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
13315,8324,8515,84222,86332,88041,89478,91842,94162,96408,98654,100546,101009,102599,103075,103193
13317,10766,10708,8632,8868,8766,8837,8882,8789,8868,8889,9023,9156,9255,9174,8977
13319,10182,10212,10694,10658,10695,10736,10613,10553,10586,10524,10630,10571,10593,10199,10058
13321,22078,22067,10193,10227,10126,10040,9968,9881,9793,9750,9691,9652,9563,9463,9548
24001,75547,75288,187894,191261,194100,195851,197408,198199,197635,197594,197650,197192,197131,198223,199053
24003,477749,484800,74804,74525,74204,74076,74408,73979,73980,74449,74638,75101,75087,74586,73975
24005,745458,749425,491670,498559,504884,507769,513259,516171,517698,520503,525304,532395,537656,545017,550641
24009,71019,72858,755598,762925,770147,777756,784371,789110,793733,796073,798651,801808,805029,813169,818282
24011,29576,29610,75118,77218,80153,83007,84928,86294,87043,87445,87788,88244,88737,89291,89685
24013,146977,149149,29773,29814,30054,30553,30653,31416,32214,32720,32983,33013,33066,32912,32640
24015,82603,84591,151454,154037,157930,161389,163915,165519,166950,167390,167433,167028,167134,167238,167191
24017,116177,118571,86448,88228,90061,92444,94809,96836,98821,99628,100232,100816,101108,101635,101776
24019,30607,30783,121229,124745,128079,131942,135601,138560,141164,142721,143783,144804,146551,149282,150770
24021,187144,191606,30581,30647,30526,30628,31086,31422,31677,32172,32466,32470,32618,32694,32476
24023,29674,29834,196563,202315,209194,213827,217776,221201,224211,227463,229286,230942,233385,237322,239610
24025,213438,216408,29838,29812,29987,30182,30147,30083,30147,30148,30222,30145,30097,30101,29904
24027,235038,243007,219797,222753,227369,231411,234849,238402,241163,241634,242779,243685,244826,246704,248661
24029,18994,19015,249590,255211,259532,263186,265919,268590,271793,275196,278405,283061,287085,293898,299605
24031,847596,862350,19252,19330,19443,19505,19513,19695,19786,19801,20150,20132,20197,20238,19986
24033,789037,795048,877478,891764,903140,910498,914991,921531,926492,931694,942748,959013,971777,992928,1006218
24035,39127,40077,803111,817360,828893,837648,845950,853271,852097,849916,850167,856161,863420,874983,882465
24037,84967,85627,40763,41253,42524,43688,44411,44879,45716,46517,47063,47532,47798,48329,48520
24039,24647,24766,86498,87455,89819,92333,94900,96871,98849,100599,101921,103273,105151,107781,109071
